,shareholder_id,company_id,ownership
0,1142,10857752,0.51
1,2227,3601366,0.02
2,2227,6246429,1.0
3,2422,11112439,0.9987
4,2422,11405880,0.25
5,2858,2210105,1.0
6,6467,1142,0.0019
7,6467,8104971,0.0019
8,7879,3395225,0.9961
9,11822,11011499,0.0019
10,11822,4132629,0.9961
11,11822,5409333,0.0019
12,11822,11419404,0.0206
13,11822,9106794,0.0001
14,11822,5904730,1.0
15,11822,3826819,1.0
16,12137,7185971,1.0
17,13511,8278580,1.0
18,14295,10085661,0.01
19,14342,3731501,1.0
20,19769,3757970,0.99
21,20045,614688,0.6
22,20098,10209231,1.0
23,20635,10711745,0.3333
24,22701,10514042,0.005
25,24737,1694328,1.0
26,25921,8984759,1.0
27,25921,2263835,0.46520000000000006
28,25966,8339513,0.75
29,29540,614688,1.0
30,29839,6455918,1.0
31,31408,166051,1.0
32,32261,6844673,0.53
33,32862,814375,1.0
34,34472,4001653,1.0
35,38207,1282235,1.0
36,39610,5602465,1.0
37,43971,6916351,0.9994
38,43975,1327539,0.2489
39,43975,4419581,1.0
40,47597,4221012,1.0
41,47804,3583479,1.0
42,49969,4221965,1.0
43,49969,5052317,1.0
44,51782,10450852,0.0019
45,52183,8920944,1.0
46,52401,10333197,1.0
47,55368,6867355,0.0023
48,55899,3791198,1.0
49,60198,2447832,1.0
50,61952,3088346,1.0
51,63969,6621854,1.0
52,65049,8187614,1.0
53,65065,11860522,1.0
54,65269,3628001,1.0
55,69974,4017936,0.1263
56,70514,411248,1.0
57,76834,3731501,0.49090000000000006
58,76914,919389,0.5001
59,84819,2074366,1.0
60,86438,5317277,0.98
61,86572,6421143,1.0
62,88421,8382637,0.0108
63,89303,10312278,0.0364
64,91586,3301196,0.9448000000000001
65,91685,4165640,0.9962000000000001
66,94458,2210105,0.09849999999999999
67,97639,5317277,0.73
68,102662,7227675,0.74
69,103952,10091734,0.7908
70,104274,3225818,0.8408
71,106271,10431833,0.5740999999999999
72,106271,6687242,0.01
73,106411,11899382,0.1421
74,106550,6511450,1.0
75,106550,357624,0.1888
76,106550,8071756,0.25
77,106550,11787569,0.04
78,106550,8104971,0.9998
79,107499,10876020,0.2577
