,company_id,assets,nace_2digit,nace_4digit,countryisocode,is_biotech
0,2332,4061034.0,72.0,7211.0,BE,True
1,8649,,,,BE,False
2,24111,82464251.0,20.0,2014.0,BE,False
3,50121,85842216509.0,65.0,6511.0,SE,False
4,76283,,,,AE,False
5,87275,,,,US,False
6,88435,,,,SE,False
7,107097,,,,BE,False
8,138957,389637913.0,66.0,6619.0,GB,False
9,144528,,,,BE,False
10,205154,,64.0,6419.0,AT,False
11,212104,25312663.0,64.0,6420.0,GB,False
12,220416,,,,FR,False
13,222168,,,,BE,False
14,229920,417542000000.0,64.0,6420.0,SE,False
15,248470,,,,FR,False
16,259813,,64.0,6499.0,FI,False
17,261471,2309170000.0,73.0,7312.0,BE,False
18,266436,9635376.0,46.0,4639.0,BE,False
19,285319,3219346.0,72.0,7211.0,BE,True
20,290601,6383239000.0,66.0,6630.0,FR,False
21,295046,676161960.0,41.0,4120.0,BE,False
22,365902,76697625.0,64.0,6420.0,SE,False
23,428300,13188116.0,70.0,7010.0,AT,False
24,429592,,,,NO,False
25,454254,875587500.0,65.0,6511.0,SE,False
26,474230,7136638.0,66.0,6630.0,SE,False
27,502617,19510901000.0,64.0,6419.0,FR,False
28,505261,,,,BE,False
29,505302,49440000.0,64.0,6419.0,AT,False
30,521103,1483780.0,64.0,6430.0,FR,False
31,541844,,,,FI,False
32,603484,164241.0,70.0,7010.0,AT,False
33,641438,23703024.0,64.0,6420.0,BE,False
34,643324,,,,SE,False
35,677556,27215374.0,46.0,4646.0,BE,False
36,685031,124137499000.0,65.0,6500.0,DE,False
37,717542,,,,AT,False
38,759714,,,,BE,False
39,775175,,,,BE,False
40,804626,626466000.0,64.0,6419.0,AT,False
41,819161,,,,FI,False
42,836684,,,,LU,False
43,837741,,,,GB,False
44,844098,,,,BE,False
45,849622,16294110697.0,64.0,6419.0,SE,False
46,852775,,,,BE,False
47,855333,510615808.0,65.0,6511.0,SE,False
48,883803,,,,GB,False
49,896751,1904154.0,72.0,7211.0,BE,True
50,923457,,,,FR,False
51,933638,,,,US,False
52,957862,,,,BE,False
53,1012115,,,,AT,False
54,1027271,,,,AT,False
55,1030734,205495.0,70.0,7021.0,BE,False
56,1037051,,,,SE,False
57,1046496,,,,SE,False
58,1047457,,,,FR,False
